Phi,P,variable,value,SE
0.8,0.8,Year round resident,0.011448548,0.005974007
0.8,0.9,Year round resident,0.017664524,0.006412964
0.8,1,Year round resident,0.021133333,0.008331246
0.85,0.01,Year round resident,0,0
0.85,0.1,Year round resident,0,0
0.85,0.2,Year round resident,5.75E-05,0.000574713
0.85,0.3,Year round resident,0.000148812,0.001110696
0.85,0.4,Year round resident,0.002038961,0.002914902
0.85,0.5,Year round resident,0.005749841,0.005190144
0.85,0.6,Year round resident,0.01530155,0.007146618
0.85,0.7,Year round resident,0.021211717,0.009016934
0.85,0.8,Year round resident,0.031018293,0.008895406
0.85,0.9,Year round resident,0.039067779,0.011120489
0.85,1,Year round resident,0.0469,0.011274107
0.9,0.01,Year round resident,0,0
0.9,0.1,Year round resident,0,0
0.9,0.2,Year round resident,0,0
0.9,0.3,Year round resident,0.001349991,0.002532584
0.9,0.4,Year round resident,0.00622584,0.004663886
0.9,0.5,Year round resident,0.022528698,0.009011965
0.9,0.6,Year round resident,0.044536924,0.010208616
0.9,0.7,Year round resident,0.063335499,0.014238247
0.9,0.8,Year round resident,0.089187599,0.014528196
0.9,0.9,Year round resident,0.098351212,0.015847248
0.9,1,Year round resident,0.112633333,0.017215183
0.95,0.01,Year round resident,0,0
0.95,0.1,Year round resident,0,0
0.95,0.2,Year round resident,8.99E-05,0.000632388
0.95,0.3,Year round resident,0.002552455,0.003131834
0.95,0.4,Year round resident,0.022612194,0.009416559
0.95,0.5,Year round resident,0.071394229,0.014090746
0.95,0.6,Year round resident,0.119113866,0.020924935
0.95,0.7,Year round resident,0.183059351,0.024036667
0.95,0.8,Year round resident,0.216152739,0.023066179
0.95,0.9,Year round resident,0.240433529,0.024459097
0.95,1,Year round resident,0.2573,0.026026383
1,0.01,Year round resident,0,0
1,0.1,Year round resident,0,0
1,0.2,Year round resident,0.000333527,0.001065991
1,0.3,Year round resident,0.009485687,0.005321147
1,0.4,Year round resident,0.084671152,0.018099671
1,0.5,Year round resident,0.221107968,0.022675719
1,0.6,Year round resident,0.398816007,0.029913791
1,0.7,Year round resident,0.458473459,0.031880112
1,0.8,Year round resident,0.534392651,0.029759072
1,0.9,Year round resident,0.558810911,0.02832727
1,1,Year round resident,0.575333333,0.029731307
